gain	loss	cert	gamble	outcome	cond	subjID
9	-6.75	0	1	-6.75	0	2
6	-6.75	0	0	0	0	2
6	-3	0	1	6	0	2
2	-1.5	0	0	0	0	2
4	-3	0	0	0	0	2
5	-6.88	0	0	0	0	2
12	-9	0	1	12	0	2
4	-5	0	0	0	0	2
5	-7.5	0	0	0	0	2
4	-4	0	1	-4	0	2
9	-5.63	0	1	-5.63	0	2
9	-14.63	0	0	0	0	2
5	-9.38	0	0	0	0	2
6	-4.5	0	1	6	0	2
8	-7	0	0	0	0	2
10	-16.25	0	0	0	0	2
10	-17.5	0	0	0	0	2
9	-16.88	0	0	0	0	2
8	-5	0	1	8	0	2
6	-1.5	0	1	6	0	2
12	-18	0	0	0	0	2
5	-6.25	0	0	0	0	2
8	-4	0	1	8	0	2
9	-15.75	0	0	0	0	2
9	-13.5	0	0	0	0	2
5	-8.13	0	0	0	0	2
2	0	1	1	0	0	2
2	-3.75	0	0	0	0	2
4	-6.5	0	0	0	0	2
10	-5	0	1	-5	0	2
12	-22.5	0	0	0	0	2
2	-1	0	1	2	0	2
13	0	6	1	13	0	2
5	-2.5	0	0	0	0	2
2	-0.5	0	1	2	0	2
2	-3.25	0	1	-3.25	0	2
30	0	12	1	0	0	2
8	-8	0	1	8	0	2
4	-5.5	0	0	0	0	2
23	0	10	1	0	0	2
4	-3.5	0	0	0	0	2
5	0	2	1	5	0	2
8	0	3	1	0	0	2
9	-10.13	0	0	0	0	2
8	-16	0	0	0	0	2
12	-24	0	0	0	0	2
9	-3.38	0	1	-3.38	0	2
6	-5.25	0	1	6	0	2
2	-4	0	0	0	0	2
4	-1	0	1	-1	0	2
6	-11.25	0	0	0	0	2
5	-4.38	0	1	-4.38	0	2
6	-2.25	0	1	6	0	2
12	-10.5	0	1	12	0	2
9	-18	0	0	0	0	2
10	-20	0	0	0	0	2
4	-4.5	0	0	0	0	2
9	-2.25	0	1	-2.25	0	2
4	-6	0	0	0	0	2
8	-10	0	1	-10	0	2
5	-5	0	1	-5	0	2
5	-8.75	0	0	0	0	2
8	-6	0	1	-6	0	2
10	-13.75	0	0	0	0	2
2	-2.5	0	0	0	0	2
8	-11	0	1	-11	0	2
4	-2	0	1	4	0	2
10	-7.5	0	1	-7.5	0	2
22	0	10	1	22	0	2
25	0	10	1	0	0	2
6	-9.75	0	0	0	0	2
12	0	5	1	12	0	2
4	-2.5	0	1	-2.5	0	2
8	-3	0	1	8	0	2
10	-11.25	0	1	-11.25	0	2
5	-10	0	1	5	0	2
10	-15	0	0	0	0	2
2	-3.5	0	0	0	0	2
12	0	4	1	12	0	2
13	0	5	0	5	0	2
5	-3.75	0	1	5	0	2
26	0	12	0	12	0	2
5	-5.63	0	0	0	0	2
8	-2	0	1	-2	0	2
2	-3	0	0	0	0	2
6	-9	0	0	0	0	2
9	-7.88	0	0	0	0	2
8	-14	0	0	0	0	2
28	0	13	1	28	0	2
9	-12.38	0	0	0	0	2
8	-15	0	1	-15	0	2
10	-2.5	0	1	-2.5	0	2
4	0	2	1	4	0	2
12	-6	0	1	-6	0	2
12	-16.5	0	1	-16.5	0	2
4	-7.5	0	0	0	0	2
10	-8.75	0	1	-8.75	0	2
10	-18.75	0	1	10	0	2
26	0	10	1	0	0	2
12	-21	0	1	12	0	2
2	-0.75	0	1	-0.75	0	2
9	-9	0	1	-9	0	2
10	-6.25	0	1	10	0	2
8	-12	0	1	-12	0	2
3	0	1	1	0	0	2
5	-1.88	0	1	5	0	2
6	-7.5	0	1	-7.5	0	2
12	-13.5	0	1	12	0	2
4	-7	0	0	0	0	2
6	-8.25	0	1	-8.25	0	2
6	-12	0	0	0	0	2
6	-10.5	0	0	0	0	2
4	-8	0	0	0	0	2
6	-6	0	1	-6	0	2
12	0	6	1	12	0	2
12	-19.5	0	1	12	0	2
19	0	8	1	19	0	2
12	-15	0	0	0	0	2
2	-1.75	0	0	0	0	2
6	-3.75	0	0	0	0	2
2	-1.25	0	0	0	0	2
5	-1.25	0	1	-1.25	0	2
4	-1.5	0	1	4	0	2
8	-13	0	0	0	0	2
12	-7.5	0	1	-7.5	0	2
12	-3	0	1	-3	0	2
2	-2.75	0	0	0	0	2
7	0	3	1	7	0	2
25	0	9	1	25	0	2
2	-2	0	0	0	0	2
12	-4.5	0	1	-4.5	0	2
12	-12	0	1	12	0	2
5	-3.13	0	1	5	0	2
9	-11.25	0	0	0	0	2
8	-9	0	1	-9	0	2
2	-2.25	0	0	0	0	2
9	-4.5	0	1	-4.5	0	2
10	-3.75	0	1	10	0	2
10	-10	0	1	10	0	2
10	-12.5	0	0	0	0	2
2	-2.5	0	0	0	0	3
5	-5.63	0	0	0	0	3
6	-7.5	0	0	0	0	3
26	0	10	1	0	0	3
9	-4.5	0	0	0	0	3
2	-1.25	0	0	0	0	3
8	-3	0	0	0	0	3
25	0	9	0	9	0	3
4	-4.5	0	0	0	0	3
5	-10	0	0	0	0	3
6	-9	0	0	0	0	3
10	-6.25	0	0	0	0	3
4	-4	0	0	0	0	3
12	-3	0	0	0	0	3
5	-5	0	0	0	0	3
12	0	5	0	5	0	3
6	-9.75	0	0	0	0	3
19	0	8	0	8	0	3
4	-7.5	0	0	0	0	3
12	-9	0	0	0	0	3
4	-6.5	0	0	0	0	3
9	-5.63	0	0	0	0	3
9	-18	0	0	0	0	3
10	-11.25	0	0	0	0	3
10	-13.75	0	0	0	0	3
6	-12	0	0	0	0	3
10	-12.5	0	0	0	0	3
4	-7	0	0	0	0	3
10	-7.5	0	0	0	0	3
4	-8	0	0	0	0	3
8	-11	0	0	0	0	3
12	0	4	1	12	0	3
9	-3.38	0	0	0	0	3
10	-18.75	0	0	0	0	3
2	-3.5	0	0	0	0	3
2	-1	0	0	0	0	3
2	-3.25	0	0	0	0	3
2	0	1	0	1	0	3
7	0	3	0	3	0	3
8	0	3	0	3	0	3
12	-6	0	0	0	0	3
2	-0.5	0	1	2	0	3
9	-7.88	0	0	0	0	3
8	-15	0	0	0	0	3
2	-1.5	0	0	0	0	3
12	-22.5	0	0	0	0	3
8	-7	0	0	0	0	3
4	-5.5	0	0	0	0	3
10	-8.75	0	0	0	0	3
8	-9	0	0	0	0	3
2	-4	0	0	0	0	3
4	0	2	1	4	0	3
8	-8	0	0	0	0	3
9	-13.5	0	0	0	0	3
9	-9	0	0	0	0	3
6	-3.75	0	0	0	0	3
13	0	6	0	6	0	3
5	-1.88	0	1	5	0	3
6	-6	0	0	0	0	3
5	-6.88	0	0	0	0	3
8	-16	0	0	0	0	3
12	-7.5	0	0	0	0	3
5	-1.25	0	1	-1.25	0	3
9	-14.63	0	0	0	0	3
