subjID	choice	prob1	prob2	outcome1	outcome2
2001	1	1	0.1	0	10
2001	1	1	0.25	0	10
2001	1	1	0.5	0	10
2001	1	1	0.75	0	10
2001	1	1	0.9	0	10
2001	1	1	1	0	10
2001	1	1	0.1	1	10
2001	1	1	0.25	1	10
2001	2	1	0.5	1	10
2001	1	1	0.75	1	10
2001	1	1	0.9	1	10
2001	1	1	1	1	10
2001	1	1	0.1	2	10
2001	1	1	0.25	2	10
2001	1	1	0.5	2	10
2001	1	1	0.75	2	10
2001	1	1	0.9	2	10
2001	1	1	1	2	10
2001	1	1	0.1	3	10
2001	1	1	0.25	3	10
2001	1	1	0.5	3	10
2001	1	1	0.75	3	10
2001	1	1	0.9	3	10
2001	1	1	1	3	10
2001	1	1	0.1	4	10
2001	1	1	0.25	4	10
2001	1	1	0.5	4	10
2001	1	1	0.75	4	10
2001	1	1	0.9	4	10
2001	1	1	1	4	10
2001	1	1	0.1	5	10
2001	2	1	0.25	5	10
2001	1	1	0.5	5	10
2001	1	1	0.75	5	10
2001	2	1	0.9	5	10
2001	1	1	1	5	10
2001	2	1	0.1	6	10
2001	1	1	0.25	6	10
2001	1	1	0.5	6	10
2001	1	1	0.75	6	10
2001	1	1	0.9	6	10
2001	1	1	1	6	10
2001	1	1	0.1	7	10
2001	1	1	0.25	7	10
2001	1	1	0.5	7	10
2001	1	1	0.75	7	10
2001	1	1	0.9	7	10
2001	1	1	1	7	10
2001	1	1	0.1	8	10
2001	2	1	0.25	8	10
2001	1	1	0.5	8	10
2001	2	1	0.75	8	10
2001	1	1	0.9	8	10
2001	1	1	1	8	10
2001	2	1	0.1	9	10
2001	2	1	0.25	9	10
2001	1	1	0.5	9	10
2001	1	1	0.75	9	10
2001	2	1	0.9	9	10
2001	2	1	1	9	10
2001	2	1	0.1	10	10
2001	2	1	0.25	10	10
2001	2	1	0.5	10	10
2001	2	1	0.75	10	10
2001	1	1	0.9	10	10
2001	2	1	1	10	10
2002	2	1	0.1	0	10
2002	2	1	0.25	0	10
2002	2	1	0.5	0	10
2002	2	1	0.75	0	10
2002	2	1	0.9	0	10
2002	2	1	1	0	10
2002	2	1	0.1	1	10
2002	2	1	0.25	1	10
2002	2	1	0.5	1	10
2002	2	1	0.75	1	10
2002	2	1	0.9	1	10
2002	2	1	1	1	10
2002	2	1	0.1	2	10
2002	2	1	0.25	2	10
2002	2	1	0.5	2	10
2002	2	1	0.75	2	10
2002	2	1	0.9	2	10
2002	2	1	1	2	10
2002	2	1	0.1	3	10
2002	2	1	0.25	3	10
2002	2	1	0.5	3	10
2002	2	1	0.75	3	10
2002	2	1	0.9	3	10
2002	2	1	1	3	10
2002	2	1	0.1	4	10
2002	2	1	0.25	4	10
2002	2	1	0.5	4	10
2002	2	1	0.75	4	10
2002	2	1	0.9	4	10
2002	2	1	1	4	10
2002	2	1	0.1	5	10
2002	2	1	0.25	5	10
2002	2	1	0.5	5	10
2002	2	1	0.75	5	10
2002	2	1	0.9	5	10
2002	2	1	1	5	10
2002	2	1	0.1	6	10
2002	2	1	0.25	6	10
2002	2	1	0.5	6	10
2002	2	1	0.75	6	10
2002	2	1	0.9	6	10
2002	2	1	1	6	10
2002	2	1	0.1	7	10
2002	2	1	0.25	7	10
2002	1	1	0.5	7	10
2002	2	1	0.75	7	10
2002	2	1	0.9	7	10
2002	2	1	1	7	10
2002	1	1	0.1	8	10
2002	1	1	0.25	8	10
2002	2	1	0.5	8	10
2002	2	1	0.75	8	10
2002	2	1	0.9	8	10
2002	2	1	1	8	10
2002	1	1	0.1	9	10
2002	1	1	0.25	9	10
2002	1	1	0.5	9	10
2002	1	1	0.75	9	10
2002	2	1	0.9	9	10
2002	2	1	1	9	10
2002	1	1	0.1	10	10
2002	1	1	0.25	10	10
2002	1	1	0.5	10	10
2002	1	1	0.75	10	10
2002	1	1	0.9	10	10
2002	2	1	1	10	10
2003	1	1	0.1	0	10
2003	1	1	0.25	0	10
2003	1	1	0.5	0	10
2003	1	1	0.75	0	10
2003	1	1	0.9	0	10
2003	1	1	1	0	10
2003	1	1	0.1	1	10
2003	1	1	0.25	1	10
2003	1	1	0.5	1	10
2003	1	1	0.75	1	10
2003	1	1	0.9	1	10
2003	1	1	1	1	10
2003	1	1	0.1	2	10
2003	1	1	0.25	2	10
2003	1	1	0.5	2	10
2003	1	1	0.75	2	10
2003	1	1	0.9	2	10
2003	1	1	1	2	10
2003	1	1	0.1	3	10
2003	1	1	0.25	3	10
2003	1	1	0.5	3	10
2003	1	1	0.75	3	10
2003	1	1	0.9	3	10
2003	1	1	1	3	10
2003	2	1	0.1	4	10
2003	1	1	0.25	4	10
2003	1	1	0.5	4	10
2003	1	1	0.75	4	10
2003	1	1	0.9	4	10
2003	1	1	1	4	10
2003	2	1	0.1	5	10
2003	1	1	0.25	5	10
2003	1	1	0.5	5	10
2003	1	1	0.75	5	10
2003	1	1	0.9	5	10
2003	1	1	1	5	10
2003	2	1	0.1	6	10
2003	2	1	0.25	6	10
2003	1	1	0.5	6	10
2003	1	1	0.75	6	10
2003	1	1	0.9	6	10
2003	1	1	1	6	10
2003	2	1	0.1	7	10
2003	2	1	0.25	7	10
2003	2	1	0.5	7	10
2003	1	1	0.75	7	10
2003	1	1	0.9	7	10
2003	1	1	1	7	10
2003	2	1	0.1	8	10
2003	2	1	0.25	8	10
2003	2	1	0.5	8	10
2003	2	1	0.75	8	10
2003	1	1	0.9	8	10
2003	1	1	1	8	10
2003	2	1	0.1	9	10
2003	2	1	0.25	9	10
2003	2	1	0.5	9	10
2003	2	1	0.75	9	10
