gain	loss	cert	gamble	outcome	cond	subjID
10	-15	0	0	0	1	2
10	-10	0	1	10	1	2
9	-18	0	0	0	1	2
12	-24	0	1	-24	1	2
13	0	5	1	13	1	2
5	-1.88	0	1	-1.88	1	2
4	-4.5	0	1	4	1	2
9	-7.88	0	1	9	1	2
9	-9	0	1	9	1	2
25	0	9	1	0	1	2
12	-12	0	1	-12	1	2
6	-2.25	0	1	6	1	2
8	-5	0	1	-5	1	2
4	-5.5	0	1	-5.5	1	2
2	-1.25	0	1	-1.25	1	2
9	-13.5	0	1	-13.5	1	2
9	-4.5	0	1	9	1	2
10	-11.25	0	1	10	1	2
6	-3	0	1	-3	1	2
10	-2.5	0	1	-2.5	1	2
12	0	4	1	12	1	2
10	-20	0	1	10	1	2
5	-3.75	0	1	5	1	2
9	-10.13	0	1	-10.13	1	2
4	-7	0	1	-7	1	2
12	-10.5	0	1	-10.5	1	2
8	-16	0	1	8	1	2
4	-7.5	0	0	0	1	2
8	0	3	1	8	1	2
6	-10.5	0	0	0	1	2
6	-9.75	0	0	0	1	2
5	-8.75	0	0	0	1	2
5	-2.5	0	1	-2.5	1	2
13	0	6	1	0	1	2
23	0	10	1	0	1	2
8	-4	0	1	-4	1	2
9	-11.25	0	1	9	1	2
5	-6.88	0	0	0	1	2
4	-4	0	1	4	1	2
10	-17.5	0	0	0	1	2
8	-13	0	0	0	1	2
26	0	12	1	0	1	2
6	-8.25	0	1	-8.25	1	2
9	-14.63	0	1	9	1	2
8	-2	0	1	-2	1	2
10	-6.25	0	1	-6.25	1	2
8	-14	0	0	0	1	2
12	0	5	1	0	1	2
8	-10	0	0	0	1	2
30	0	12	1	0	1	2
5	-7.5	0	0	0	1	2
5	0	2	1	0	1	2
6	-3.75	0	1	6	1	2
6	-6	0	1	-6	1	2
4	-2	0	1	-2	1	2
12	-7.5	0	1	-7.5	1	2
5	-6.25	0	1	5	1	2
4	-5	0	1	4	1	2
2	-2.75	0	1	-2.75	1	2
2	-2	0	1	2	1	2
6	-9	0	1	-9	1	2
5	-3.13	0	1	5	1	2
12	-9	0	1	-9	1	2
4	-8	0	1	-8	1	2
4	-1	0	1	4	1	2
2	0	1	1	2	1	2
9	-16.88	0	1	9	1	2
8	-6	0	1	-6	1	2
2	-0.5	0	1	-0.5	1	2
6	-7.5	0	1	-7.5	1	2
8	-3	0	1	8	1	2
12	-3	0	1	12	1	2
5	-9.38	0	1	-9.38	1	2
6	-9.75	0	0	0	1	3
12	-13.5	0	0	0	1	3
8	-7	0	1	8	1	3
10	-7.5	0	0	0	1	3
2	-2.25	0	0	0	1	3
6	-8.25	0	0	0	1	3
10	-16.25	0	0	0	1	3
3	0	1	1	3	1	3
4	-3	0	0	0	1	3
8	-2	0	1	-2	1	3
4	-2.5	0	0	0	1	3
5	-5.63	0	0	0	1	3
5	0	2	1	0	1	3
30	0	12	1	0	1	3
9	-4.5	0	0	0	1	3
4	-7.5	0	0	0	1	3
26	0	10	0	10	1	3
10	-6.25	0	0	0	1	3
2	-4	0	0	0	1	3
4	-5	0	0	0	1	3
5	-1.88	0	1	-1.88	1	3
23	0	10	1	0	1	3
8	-3	0	0	0	1	3
8	-12	0	0	0	1	3
10	-2.5	0	0	0	1	3
5	-8.13	0	0	0	1	3
8	-9	0	0	0	1	3
2	-3	0	0	0	1	3
9	-11.25	0	0	0	1	3
9	-12.38	0	0	0	1	3
12	-15	0	0	0	1	3
8	-10	0	0	0	1	3
4	-1	0	1	4	1	3
8	0	3	1	8	1	3
4	-3.5	0	0	0	1	3
8	-8	0	0	0	1	3
10	-11.25	0	0	0	1	3
10	-5	0	1	10	1	3
9	-13.5	0	0	0	1	3
2	-0.75	0	1	2	1	3
5	-4.38	0	0	0	1	3
2	-1.5	0	0	0	1	3
2	-3.75	0	0	0	1	3
5	-3.75	0	0	0	1	3
9	-16.88	0	0	0	1	3
9	-3.38	0	1	-3.38	1	3
5	-10	0	0	0	1	3
26	0	12	0	12	1	3
5	-9.38	0	0	0	1	3
6	-1.5	0	1	-1.5	1	3
10	-10	0	0	0	1	3
2	-1.25	0	1	-1.25	1	3
9	-14.63	0	0	0	1	3
6	-4.5	0	0	0	1	3
5	-5	0	0	0	1	3
5	-7.5	0	0	0	1	3
8	-13	0	0	0	1	3
5	-3.13	0	0	0	1	3
8	-5	0	0	0	1	3
8	-11	0	0	0	1	3
6	-6.75	0	0	0	1	3
5	-8.75	0	0	0	1	3
2	0	1	1	2	1	3
9	-5.63	0	0	0	1	3
6	-6	0	0	0	1	3
4	-5.5	0	0	0	1	3
6	-3	0	0	0	1	3
12	-19.5	0	0	0	1	3
10	-13.75	0	0	0	1	3
10	-8.75	0	0	0	1	3
5	-6.88	0	0	0	1	3
6	-7.5	0	0	0	1	3
10	-12.5	0	0	0	1	3
9	-6.75	0	0	0	1	3
4	-6	0	0	0	1	3
8	-4	0	1	-4	1	3
2	-1	0	1	2	1	3
12	-24	0	0	0	1	3
12	-6	0	0	0	1	3
2	-2	0	0	0	1	3
4	-7	0	0	0	1	3
12	-9	0	0	0	1	3
6	-11.25	0	0	0	1	3
25	0	10	0	10	1	3
28	0	13	0	13	1	3
2	-2.75	0	0	0	1	3
12	-10.5	0	0	0	1	3
8	-14	0	0	0	1	3
4	-6.5	0	0	0	1	3
4	0	2	1	4	1	3
10	-15	0	0	0	1	3
12	0	5	1	0	1	3
10	-18.75	0	0	0	1	3
12	-3	0	1	12	1	3
4	-4	0	0	0	1	3
9	-7.88	0	0	0	1	3
9	-2.25	0	1	-2.25	1	3
2	-1.75	0	0	0	1	3
12	0	6	1	0	1	3
5	-2.5	0	0	0	1	3
4	-4.5	0	0	0	1	3
8	-6	0	0	0	1	3
12	-18	0	0	0	1	3
12	-16.5	0	0	0	1	3
22	0	10	0	10	1	3
12	-21	0	0	0	1	3
12	-4.5	0	0	0	1	3
12	-12	0	0	0	1	3
19	0	8	0	8	1	3
2	-2.5	0	0	0	1	3
12	0	4	1	12	1	3
4	-2	0	0	0	1	3
9	-9	0	0	0	1	3
9	-10.13	0	0	0	1	3
6	-2.25	0	1	6	1	3
2	-0.5	0	1	-0.5	1	3
10	-3.75	0	1	10	1	3
13	0	5	1	13	1	3
4	-1.5	0	1	4	1	3
5	-1.25	0	1	5	1	3
6	-9	0	0	0	1	3
10	-17.5	0	0	0	1	3
6	-12	0	0	0	1	3
6	-5.25	0	0	0	1	3
12	-22.5	0	0	0	1	3
8	-16	0	0	0	1	3
9	-15.75	0	0	0	1	3
10	-20	0	0	0	1	3
13	0	6	1	0	1	3
4	-8	0	0	0	1	3
12	-7.5	0	0	0	1	3
9	-18	0	0	0	1	3
2	-3.25	0	0	0	1	3
7	0	3	0	3	1	3
6	-3.75	0	0	0	1	3
5	-6.25	0	0	0	1	3
8	-15	0	0	0	1	3
25	0	9	0	9	1	3
2	-3.5	0	0	0	1	3
6	-10.5	0	0	0	1	3
9	-10.13	0	1	-10.13	1	4
12	-10.5	0	0	0	1	4
25	0	10	1	25	1	4
4	-7	0	1	-7	1	4
9	-7.88	0	0	0	1	4
5	-3.13	0	1	5	1	4
5	-8.13	0	1	5	1	4
8	-7	0	0	0	1	4
12	-6	0	1	-6	1	4
12	-24	0	0	0	1	4
12	-21	0	0	0	1	4
4	-2.5	0	1	4	1	4
6	-9	0	0	0	1	4
10	-15	0	1	10	1	4
8	-6	0	1	-6	1	4
13	0	6	1	0	1	4
6	-12	0	1	-12	1	4
6	-4.5	0	0	0	1	4
9	-16.88	0	0	0	1	4
10	-18.75	0	1	10	1	4
9	-3.38	0	1	-3.38	1	4
6	-9.75	0	1	-9.75	1	4
2	-1.75	0	0	0	1	4
5	0	2	0	2	1	4
8	-5	0	1	-5	1	4
8	-9	0	0	0	1	4
12	0	6	1	0	1	4
12	0	4	1	12	1	4
2	-2.5	0	0	0	1	4
6	-3	0	1	-3	1	4
10	-7.5	0	1	-7.5	1	4
5	-2.5	0	1	-2.5	1	4
5	-3.75	0	1	5	1	4
10	-3.75	0	1	10	1	4
2	-3	0	0	0	1	4
10	-6.25	0	1	-6.25	1	4
4	-7.5	0	0	0	1	4
8	-16	0	0	0	1	4
5	-6.25	0	1	5	1	4
4	0	2	1	4	1	4
10	-11.25	0	1	10	1	4
5	-6.88	0	0	0	1	4
5	-7.5	0	1	5	1	4
26	0	12	0	12	1	4
8	-13	0	1	8	1	4
4	-4.5	0	0	0	1	4
8	-10	0	1	-10	1	4
6	-3.75	0	1	6	1	4
5	-5.63	0	0	0	1	4
9	-18	0	0	0	1	4
12	-13.5	0	1	12	1	4
7	0	3	0	3	1	4
8	-14	0	1	8	1	4
2	-1.5	0	0	0	1	4
10	-2.5	0	1	-2.5	1	4
13	0	5	1	13	1	4
9	-15.75	0	0	0	1	4
8	-12	0	0	0	1	4
28	0	13	1	0	1	4
6	-7.5	0	0	0	1	4
10	-16.25	0	0	0	1	4
12	-7.5	0	1	-7.5	1	4
5	-5	0	0	0	1	4
2	-2	0	1	2	1	4
22	0	10	0	10	1	4
2	-1	0	1	2	1	4
3	0	1	1	3	1	4
4	-5.5	0	0	0	1	4
2	-2.25	0	1	2	1	4
6	-2.25	0	1	6	1	4
4	-6.5	0	1	-6.5	1	4
9	-12.38	0	0	0	1	4
10	-13.75	0	1	-13.75	1	4
10	-17.5	0	0	0	1	4
4	-5	0	1	4	1	4
9	-11.25	0	1	9	1	4
10	-10	0	0	0	1	4
2	-3.25	0	0	0	1	4
5	-8.75	0	1	5	1	4
5	-10	0	0	0	1	4
9	-2.25	0	1	-2.25	1	4
6	-6.75	0	1	6	1	4
12	-16.5	0	1	12	1	4
9	-14.63	0	0	0	1	4
4	-8	0	0	0	1	4
6	-5.25	0	1	6	1	4
9	-6.75	0	1	-6.75	1	4
12	-12	0	1	-12	1	4
4	-1	0	1	4	1	4
12	-15	0	1	-15	1	4
4	-3.5	0	1	-3.5	1	4
2	-1.25	0	1	-1.25	1	4
30	0	12	0	12	1	4
12	-19.5	0	1	12	1	4
12	-3	0	1	12	1	4
5	-1.25	0	0	0	1	4
5	-1.88	0	1	-1.88	1	4
2	-3.5	0	0	0	1	4
12	-9	0	1	-9	1	4
10	-20	0	0	0	1	4
8	-4	0	1	-4	1	4
12	0	5	1	0	1	4
2	0	1	0	1	1	4
4	-1.5	0	1	4	1	4
2	-3.75	0	0	0	1	4
6	-10.5	0	1	-10.5	1	4
4	-2	0	1	-2	1	4
23	0	10	1	0	1	4
12	-18	0	1	12	1	4
6	-8.25	0	0	0	1	4
26	0	10	1	26	1	4
10	-8.75	0	1	-8.75	1	4
2	-0.75	0	1	2	1	4
5	-9.38	0	1	-9.38	1	4
25	0	9	1	0	1	4
9	-4.5	0	0	0	1	4
10	-5	0	1	10	1	4
2	-4	0	0	0	1	4
2	-2.75	0	1	-2.75	1	4
4	-6	0	0	0	1	4
10	-12.5	0	1	-12.5	1	4
12	-22.5	0	0	0	1	4
4	-4	0	1	4	1	4
2	-0.5	0	1	-0.5	1	4
8	-2	0	1	-2	1	4
4	-3	0	0	0	1	4
6	-11.25	0	1	6	1	4
8	-15	0	1	-15	1	4
8	-11	0	0	0	1	4
12	-4.5	0	1	-4.5	1	4
19	0	8	1	19	1	4
6	-6	0	1	-6	1	4
5	-4.38	0	0	0	1	4
9	-9	0	1	9	1	4
6	-1.5	0	1	-1.5	1	4
9	-13.5	0	0	0	1	4
9	-5.63	0	1	-5.63	1	4
8	-8	0	1	-8	1	4
8	0	3	0	3	1	4
8	-3	0	0	0	1	4
9	-11.25	0	1	9	1	5
8	-16	0	0	0	1	5
9	-5.63	0	0	0	1	5
9	-4.5	0	1	9	1	5
2	-2	0	1	2	1	5
12	-19.5	0	0	0	1	5
4	-4.5	0	0	0	1	5
2	-3.75	0	1	-3.75	1	5
2	-2.25	0	0	0	1	5
12	-4.5	0	1	-4.5	1	5
9	-10.13	0	0	0	1	5
12	-3	0	1	12	1	5
10	-17.5	0	0	0	1	5
5	-4.38	0	1	-4.38	1	5
5	-7.5	0	1	5	1	5
6	-11.25	0	0	0	1	5
2	-1.5	0	1	-1.5	1	5
9	-6.75	0	1	-6.75	1	5
4	-7	0	1	-7	1	5
8	-7	0	1	8	1	5
2	-1.75	0	0	0	1	5
2	-1	0	1	2	1	5
10	-6.25	0	1	-6.25	1	5
6	-6.75	0	1	6	1	5
9	-2.25	0	1	-2.25	1	5
2	-0.75	0	1	2	1	5
12	0	4	0	4	1	5
6	-3	0	1	-3	1	5
3	0	1	1	3	1	5
2	-3	0	0	0	1	5
10	-13.75	0	0	0	1	5
6	-2.25	0	1	6	1	5
5	-1.88	0	1	-1.88	1	5
12	-13.5	0	0	0	1	5
22	0	10	0	10	1	5
9	-12.38	0	0	0	1	5
26	0	10	0	10	1	5
12	-10.5	0	0	0	1	5
10	-2.5	0	1	-2.5	1	5
25	0	10	0	10	1	5
9	-15.75	0	0	0	1	5
7	0	3	0	3	1	5
10	-10	0	0	0	1	5
12	-15	0	0	0	1	5
12	0	6	0	6	1	5
6	-4.5	0	0	0	1	5
8	-13	0	0	0	1	5
10	-16.25	0	0	0	1	5
5	-1.25	0	1	5	1	5
4	-4	0	1	4	1	5
5	-3.75	0	1	5	1	5
6	-8.25	0	0	0	1	5
8	-15	0	0	0	1	5
8	-8	0	1	-8	1	5
2	-2.75	0	1	-2.75	1	5
6	-12	0	1	-12	1	5
2	0	1	1	2	1	5
2	-1.25	0	1	-1.25	1	5
9	-18	0	0	0	1	5
6	-9	0	0	0	1	5
10	-8.75	0	1	-8.75	1	5
4	-7.5	0	0	0	1	5
13	0	6	1	0	1	5
10	-11.25	0	0	0	1	5
4	-3	0	1	4	1	5
10	-5	0	1	10	1	5
8	-2	0	1	-2	1	5
4	-2.5	0	1	4	1	5
2	-3.5	0	0	0	1	5
2	-2.5	0	0	0	1	5
6	-3.75	0	1	6	1	5
8	-3	0	1	8	1	5
2	-3.25	0	0	0	1	5
8	-9	0	0	0	1	5
6	-6	0	1	-6	1	5
8	-11	0	0	0	1	5
5	-8.75	0	1	5	1	5
6	-9.75	0	0	0	1	5
12	-24	0	0	0	1	5
4	-6.5	0	0	0	1	5
5	-10	0	0	0	1	5
30	0	12	0	12	1	5
12	-18	0	0	0	1	5
9	-9	0	1	9	1	5
