subjID	choice	trial	outcome	bluePunish	orangePunish
10061	1	1	1	37	44
10061	1	2	1	12	66
10061	1	3	1	9	98
10061	1	4	0	91	20
10061	1	5	1	8	28
10061	1	6	1	33	30
10061	1	7	1	24	27
10061	2	8	0	43	58
10061	1	9	1	47	72
10061	1	10	0	44	44
10061	2	11	1	26	69
10061	1	12	1	41	6
10061	1	13	1	34	88
10061	1	14	0	18	73
10061	1	15	1	25	60
10061	2	16	1	6	68
10061	2	17	0	39	48
10061	2	18	1	76	35
10061	2	19	1	85	23
10061	1	20	1	22	54
10061	1	21	0	58	66
10061	1	22	1	41	98
10061	1	23	1	80	58
10061	2	24	1	85	32
10061	2	25	0	15	83
10061	2	26	1	16	18
10061	1	27	1	99	56
10061	2	28	1	75	23
10061	1	29	1	18	68
10061	2	30	1	16	30
10061	1	31	1	37	86
10061	2	32	1	44	47
10061	2	33	1	91	3
10061	1	34	0	14	60
10061	1	35	1	84	54
10061	1	36	1	23	34
10061	2	37	1	28	96
10061	1	38	0	94	83
10061	2	39	1	86	63
10061	2	40	1	53	99
10061	2	41	1	91	29
10061	1	42	1	64	88
10061	2	43	1	70	84
10061	1	44	0	88	61
10061	1	45	1	43	61
10061	2	46	1	54	87
10061	1	47	0	90	5
10061	2	48	1	44	71
10061	2	49	1	52	42
10061	1	50	1	93	39
10061	2	51	1	24	39
10061	1	52	0	10	20
10061	2	53	0	43	85
10061	2	54	0	7	77
10061	2	55	1	90	95
10061	2	56	1	7	56
10061	2	57	1	69	50
10061	2	58	1	83	4
10061	1	59	0	8	40
10061	2	60	1	86	47
10061	2	61	1	49	15
10061	1	62	1	39	17
10061	2	63	0	97	76
10061	1	64	1	14	73
10061	2	65	1	29	67
10061	2	66	1	39	48
10061	2	67	1	99	30
10061	1	68	0	20	13
10061	1	69	1	59	66
10061	1	70	1	60	20
11111	1	1	1	37	44
11111	1	2	1	12	66
11111	1	3	1	9	98
11111	2	4	0	91	20
11111	2	5	1	8	28
11111	2	6	1	33	30
11111	2	7	1	24	27
11111	2	8	0	43	58
11111	1	9	1	47	72
11111	1	10	0	44	44
11111	1	11	1	26	69
11111	2	12	1	41	6
11111	2	13	1	34	88
11111	2	14	0	18	73
11111	1	15	1	25	60
11111	2	16	1	6	68
11111	2	17	0	39	48
11111	1	18	1	76	35
11111	2	19	1	85	23
11111	2	20	1	22	54
11111	2	21	0	58	66
11111	1	22	1	41	98
11111	2	23	1	80	58
11111	2	24	1	85	32
11111	2	25	0	15	83
11111	1	26	1	16	18
11111	1	27	1	99	56
11111	1	28	1	75	23
11111	1	29	1	18	68
11111	2	30	1	16	30
11111	2	31	1	37	86
11111	2	32	1	44	47
11111	2	33	1	91	3
11111	2	34	0	14	60
11111	2	35	1	84	54
11111	2	36	1	23	34
11111	2	37	1	28	96
11111	2	38	0	94	83
11111	2	39	1	86	63
11111	1	40	1	53	99
11111	2	41	1	91	29
11111	2	42	1	64	88
11111	2	43	1	70	84
11111	2	44	0	88	61
11111	2	45	1	43	61
11111	2	46	1	54	87
11111	2	47	0	90	5
11111	2	48	1	44	71
11111	2	49	1	52	42
11111	2	50	1	93	39
11111	2	51	1	24	39
11111	2	52	0	10	20
11111	1	53	0	43	85
11111	1	54	0	7	77
11111	1	55	1	90	95
11111	1	56	1	7	56
11111	1	57	1	69	50
11111	2	58	1	83	4
11111	2	59	0	8	40
11111	2	60	1	86	47
11111	2	61	1	49	15
11111	2	62	1	39	17
11111	2	63	0	97	76
11111	1	64	1	14	73
11111	2	65	1	29	67
11111	2	66	1	39	48
11111	2	67	1	99	30
11111	2	68	0	20	13
11111	2	69	1	59	66
11111	2	70	1	60	20
11443	1	1	1	37	44
11443	2	2	1	12	66
11443	2	3	1	9	98
11443	2	4	0	91	20
11443	2	5	1	8	28
11443	2	6	1	33	30
11443	2	7	1	24	27
11443	2	8	0	43	58
11443	2	9	1	47	72
11443	2	10	0	44	44
11443	2	11	1	26	69
11443	1	12	1	41	6
11443	2	13	1	34	88
11443	2	14	0	18	73
11443	2	15	1	25	60
11443	2	16	1	6	68
11443	2	17	0	39	48
11443	2	18	1	76	35
11443	2	19	1	85	23
11443	2	20	1	22	54
11443	1	21	0	58	66
11443	2	22	1	41	98
11443	2	23	1	80	58
11443	2	24	1	85	32
11443	2	25	0	15	83
11443	1	26	1	16	18
11443	2	27	1	99	56
11443	2	28	1	75	23
11443	2	29	1	18	68
11443	1	30	1	16	30
11443	2	31	1	37	86
11443	2	32	1	44	47
11443	2	33	1	91	3
11443	2	34	0	14	60
11443	2	35	1	84	54
11443	1	36	1	23	34
11443	2	37	1	28	96
11443	2	38	0	94	83
11443	2	39	1	86	63
11443	2	40	1	53	99
11443	2	41	1	91	29
11443	2	42	1	64	88
11443	2	43	1	70	84
11443	2	44	0	88	61
11443	2	45	1	43	61
11443	2	46	1	54	87
11443	2	47	0	90	5
11443	2	48	1	44	71
11443	2	49	1	52	42
11443	2	50	1	93	39
11443	2	51	1	24	39
11443	2	52	0	10	20
11443	2	53	0	43	85
11443	2	54	0	7	77
11443	1	55	1	90	95
11443	1	56	1	7	56
11443	2	57	1	69	50
11443	2	58	1	83	4
11443	2	59	0	8	40
11443	2	60	1	86	47
11443	2	61	1	49	15
11443	2	62	1	39	17
11443	2	63	0	97	76
11443	2	64	1	14	73
11443	2	65	1	29	67
11443	2	66	1	39	48
11443	2	67	1	99	30
11443	2	68	0	20	13
11443	2	69	1	59	66
11443	2	70	1	60	20
